Landcover	Description	ChangeTo	Description2
1	CoastalStrand	1	coastalwetland
2	Sand	1	coastalwetland
23	saltmarsh	1	coastalwetland
24	mangroveswamp	1	coastalwetland
25	scrubmangrove	1	coastalwetland
26	tidalflat	1	coastalwetland
34	citrus	2	Cropland
27	openwater	3	OpenWater
33	sugarcane	2	Cropland
35	rowcrops	2	Cropland
36	otheragriculture	2	Cropland
29	grassland	4	PastureGrassland
31	improvedpasture	4	PastureGrassland
41	highimpacturban	5	Urban
42	lowimpacturban	5	Urban
43	extractive	5	Urban
32	unimprovedpasture	4	PastureGrassland
30	baresoil	6	Barren
6	Dryprairie	7	Dryprairie
12	Freshwatermarsh	8	Freshwatermarsh
13	Sawgrassmarsh	8	Freshwatermarsh
14	cattailmarsh	8	Freshwatermarsh
28	shrubandbrush	9	Scrub/Shrub
17	cypressswamp	10	CypressSwamp
18	cypress/pine/palm	10	CypressSwamp
3	XericOakScrub	9	Scrub/Shrub
4	SandPineScrub	9	Scrub/Shrub
5	Sandhill	11	Pineland
9	Pinelands	11	Pineland
38	australianpine	11	Pineland
15	shrubswamp	9	Scrub/Shrub
16	bayswamp	12	HardwoodSwamp
19	mixedwetlandforest	12	HardwoodSwamp
20	hardwoodswamp	12	HardwoodSwamp
21	hydrichammock	13	UplandForest
22	bottomlandhardwoodforest	12	HardwoodSwamp 
7	MixedHardwood	13	UplandForest 
8	HardwoodHammock	13	UplandForest 
10	CabbagePalm/LiveOak	13	UplandForest 
11	TropicalHardwoodHammock	13	UplandForest 
37	exoticplants	14	Exotics
39	melaleuca	14	Exotics
40	brazilianpepper	14	Exotics
