Name,XCoord,YCoord,area
BICY,495505,2849390,848.2403875
DEVILS,497670,2925290,0.678051
ENP,531302,2840110,638.3016839
ETOHO,472324,3130400,47.59839062
GW,582883,2962720,20.22626423
HarnsMarsh,431024,2948020,2.280975401
HOLEY,526531,2917990,143.620312
HUNGRY,569598,2983060,46.586685
IST,472176,3028470,109.8500706
KISS,473993,3087280,145.0277254
LaBelle,461876,2961685,3.862099
LC,468212,3105990,16.12396475
LH,459656,3100220,25.68909589
LJ,484077,3087110,4.255421709
LM,491042,3083720,23.25758824
LOX,566043,2931840,565.6754029
LR,475011,3125890,1.273633663
OKEE,501592,2979150,452.2999134
SHINGLE,459376,3127320,0.252850781
SJM,536632,3061140,44.93138078
STA1E,566974,2947867,26.55547
STA3,538471,2916480,64.99876318
STA5,508936,2925250,16.8633662
TOHO,462377,3120320,76.2097193
WCA2A,558729,2911050,423.2463796
WCA2B,562675,2895970,114.4176083
WCA3A,523762,2861120,383.9172902
WCA3AN,532100,2882860,789.415071
WCA3B,542610,2851370,73.53224304
