PatchID,East,North,Area,chelinidea
1,403377.34,3285722.888,0.196349541,26
10,403373.541,3285681.117,0.425528725,5
11,403382.006,3285680.009,0.27371126,9
12,403382.481,3285681.887,0.347145988,1
13,403385.322,3285681.234,0.673871624,5
14,403385.546,3285683.215,0.07696902,9
15,403389.377,3285684.819,0.065345127,12
16,403391.329,3285682.531,0.053407075,5
17,403404.209,3285685.207,0.061418136,0
19,403410.628,3285678.531,0.852628246,0
2,403377.977,3285718.508,0.227608388,17
20,403410.108,3285680.322,0.060318579,2
21,403413.482,3285680.581,0.074220126,2
22,403415.245,3285679.386,0.050893801,1
23,403419.21,3285683.931,0.109563044,8
24,403420.738,3285692.99,0.092284284,11
25,403419.611,3285704.097,0.229964582,2
26,403411.68,3285725.702,0.019792034,0
27,403409.309,3285721.971,1.040181328,4
28,403407.302,3285721.412,0.447676953,0
29,403406.05,3285723.343,0.031651546,1
3,403374.258,3285718.638,0.240803077,14
30,403404.191,3285720.531,1.900506476,0
31,403403.389,3285721.063,0.189438037,0
32,403405.008,3285725.165,0.272376083,5
33,403405.293,3285718.601,0.546008803,7
34,403400.958,3285724.145,0.361204615,18
35,403398.581,3285723.726,0.175615029,8
36,403393.213,3285724.051,1.331564046,6
37,403391.711,3285720.895,0.724922505,20
38,403390.022,3285722.367,0.360497757,0
39,403387.834,3285724.644,0.183547551,11
4,403375.26,3285713.848,0.09848893,18
40,403388.698,3285721.697,1.114951233,0
41,403383.739,3285718.314,0.001884956,0
42,403381.698,3285712.598,0.376991118,0
43,403384.657,3285712.973,0.001178097,2
44,403388.531,3285716.749,0.159828526,31
45,403389.909,3285709.226,0.639314105,14
46,403388.195,3285712.564,0.458044209,0
47,403389.978,3285701.578,0.004712389,0
48,403389.032,3285696.461,0.012095132,15
49,403386.684,3285695.092,0.226194671,1
50,403385.249,3285692.902,0.262951305,7
51,403383.684,3285691.914,0.007461283,2
52,403383.25,3285690.701,0.111605079,43
53,403383.693,3285689.6,0.227058609,5
54,403396.113,3285694.338,0.974522041,20
55,403400.165,3285694.355,0.206088478,33
56,403417.898,3285700.687,0.379190233,3
57,403415.356,3285703.155,0.02576106,0
58,403413.766,3285702.174,0.013194689,0
59,403412.916,3285702.079,0.008168141,0
61,403395.281,3285701.823,0.819013205,1
62,403387.19,3285699.934,0.003141593,0
63,403383.61,3285690.126,0.016493361,21
64,403381.182,3285688.49,0.001963495,0
65,403378.498,3285687.173,0.046338492,4
66,403377.021,3285687.152,0.211350646,0
67,403379.446,3285689.203,0.036128316,3
68,403377.802,3285689.766,0.005026548,23
69,403379.086,3285692.469,0.002120575,0
7,403373.305,3285691.848,0.400238904,11
70,403370.372,3285701.558,0.185746666,0
71,403383.587,3285717.812,0.012252211,0
72,403390.863,3285720.634,0.32052099,3
73,403398.669,3285702.31,0.159435827,1
74,403400.875,3285705.639,0.050265482,0
75,403401.233,3285707.689,0.037699112,0
76,403399.162,3285709.266,0.485376065,1
77,403397.101,3285710.492,0.412334036,0
8,403373.212,3285686.274,0.26947011,1
80,403402.09,3285712.602,1.024944603,9
81,403401.826,3285713.883,0.196035382,2
82,403392.431,3285717.058,0.567057474,0
83,403390.095,3285717.063,0.099352868,0
84,403392.578,3285721.506,0.085765479,2
85,403394.2,3285721.357,2.06968124,19
86,403419.945,3285705.554,0.011545353,0
88,403379.969,3285693.159,0.137287599,3
89,403401.77,3285713.368,0.005497787,0
9,403374.793,3285683.468,0.329867229,2
