x,y,Height
0,0,35
0,2,65
0,4,75
0,6,60
0,8,80
0,10,20
0,12,65
0,14,40
0,16,60
0,18,85
0,20,20
0,22,85
0,24,15
0,26,5
0,28,15
0,30,40
0,32,10
0,34,15
0,36,10
0,38,15
0,40,35
0,42,10
0,44,10
0,46,60
0,48,45
0,50,50
2,0,20
2,2,60
2,4,45
2,6,35
2,8,15
2,10,95
2,12,55
2,14,90
2,16,100
2,18,25
2,20,10
2,22,60
2,24,5
2,26,10
2,28,10
2,30,10
2,32,25
2,34,0
2,36,15
2,38,35
2,40,60
2,42,20
2,44,50
2,46,20
2,48,45
2,50,55
4,0,50
4,2,30
4,4,90
4,6,30
4,8,145
4,10,10
4,12,135
4,14,55
4,16,40
4,18,45
4,20,10
4,22,10
4,24,10
4,26,10
4,28,25
4,30,5
4,32,10
4,34,10
4,36,45
4,38,15
4,40,15
4,42,150
4,44,40
4,46,40
4,48,70
4,50,110
6,0,60
6,2,45
6,4,60
6,6,75
6,8,20
6,10,120
6,12,40
6,14,115
6,16,125
6,18,20
6,20,15
6,22,10
6,24,0
6,26,0
6,28,0
6,30,10
6,32,5
6,34,25
6,36,30
6,38,85
6,40,15
6,42,40
6,44,70
6,46,40
6,48,35
6,50,75
8,0,45
8,2,55
8,4,60
8,6,60
8,8,15
8,10,25
8,12,65
8,14,105
8,16,110
8,18,50
8,20,15
8,22,0
8,24,0
8,26,0
8,28,5
8,30,0
8,32,50
8,34,200
8,36,40
8,38,85
8,40,30
8,42,65
8,44,70
8,46,60
8,48,25
8,50,65
10,0,90
10,2,40
10,4,75
10,6,95
10,8,40
10,10,60
10,12,40
10,14,130
10,16,120
10,18,15
10,20,10
10,22,0
10,24,0
10,26,0
10,28,0
10,30,25
10,32,5
10,34,85
10,36,30
10,38,45
10,40,85
10,42,60
10,44,80
10,46,55
10,48,90
10,50,75
12,0,5
12,2,45
12,4,10
12,6,45
12,8,115
12,10,55
12,12,60
12,14,20
12,16,65
12,18,55
12,20,10
12,22,10
12,24,0
12,26,10
12,28,50
12,30,35
12,32,140
12,34,40
12,36,15
12,38,55
12,40,45
12,42,85
12,44,65
12,46,65
12,48,35
12,50,100
14,0,35
14,2,30
14,4,0
14,6,20
14,8,55
14,10,50
14,12,30
14,14,125
14,16,65
14,18,50
14,20,15
14,22,20
14,24,10
14,26,0
14,28,10
14,30,5
14,32,10
14,34,55
14,36,85
14,38,120
14,40,65
14,42,95
14,44,100
14,46,75
14,48,120
14,50,130
16,0,10
16,2,5
16,4,0
16,6,40
16,8,30
16,10,30
16,12,95
16,14,110
16,16,60
16,18,40
16,20,30
16,22,20
16,24,15
16,26,15
